comp169756_c0_seq1.p1	2.84e-90	286
comp191518_c0_seq1.p1	3.70e-08	54.3
comp210921_c0_seq1.p1	8.68e-45	155
comp227832_c0_seq1.p1	3.08e-77	243
comp229965_c0_seq1.p1	1.81e-09	62.4
comp236355_c0_seq1.p1	9.88e-07	48.9
comp258512_c0_seq1.p1	7.66e-34	118
comp355283_c0_seq1.p1	9.37e-13	66.6
comp49193_c0_seq1.p1	2.75e-04	43.1
comp52191_c0_seq1.p1	5.77e-31	117
comp57703_c0_seq1.p1	1.30e-48	159
comp60507_c0_seq1.p1	2.25e-05	46.6
comp61134_c0_seq1.p1	3.31e-22	93.6
comp61867_c0_seq1.p1	4.97e-84	263
comp64520_c0_seq1.p1	4.89e-49	163
comp71556_c0_seq1.p1	6.09e-30	115
comp78900_c0_seq1.p1	2.56e-68	218
comp88666_c0_seq1.p1	1.30e-17	81.3
comp88982_c0_seq1.p1	8.91e-179	513
comp91569_c0_seq1.p1	1.36e-08	55.8
comp92246_c0_seq1.p1	8.45e-15	68.2
comp92704_c0_seq1.p1	7.55e-21	90.9
comp93142_c0_seq1.p2	3.01e-18	81.6
comp93142_c1_seq1.p1	3.31e-48	158
comp93496_c0_seq1.p1	2.69e-51	175
comp95086_c0_seq1.p1	5.80e-24	99.8
comp95086_c1_seq1.p1	1.41e-99	298
comp95865_c0_seq1.p1	6.22e-52	172
comp96049_c0_seq1.p1	1.16e-50	182
comp96050_c0_seq1.p1	2.33e-31	121
comp96356_c0_seq1.p1	4.51e-20	89.7
BOX15_Mlig015854g1	1.68e-148	444
BOX15_Mlig004065g1	1.81e-138	414
BOX15_Mlig031591g2	6.98e-153	455
BOX15_Mlig013723g1	2.47e-09	62.8
BOX15_Mlig007204g1	1.23e-10	70.1
BOX15_Mlig019017g2	1.03e-102	320
BOX15_Mlig023951g1	1.34e-47	181
BOX15_Mlig003898g1	7.76e-47	177
BOX15_Mlig031004g1	4.31e-04	48.1
BOX15_Mlig031432g4	3.58e-152	459
BOX15_Mlig019017g3	6.18e-101	321
BOX15_Mlig002395g4	3.36e-106	353
BOX15_Mlig007609g1	5.94e-39	153
BOX15_Mlig011325g2	8.72e-145	434
BOX15_Mlig022967g3	1.39e-110	352
BOX15_Mlig021793g2	1.76e-80	260
BOX15_Mlig003120g3	5.80e-73	244
BOX15_Mlig010678g1	9.85e-51	182
BOX15_Mlig007416g1	1.38e-21	92.4
BOX15_Mlig028584g3	5.96e-149	446
BOX15_Mlig028785g2	7.44e-142	426
BOX15_Mlig019094g1	1.15e-15	84.7
BOX15_Mlig024322g3	1.48e-51	191
BOX15_Mlig029271g2	7.29e-09	63.5
BOX15_Mlig006056g2	1.90e-09	66.2
BOX15_Mlig032051g1	4.26e-15	83.2
BOX15_Mlig015178g3	1.58e-142	436
BOX15_Mlig016990g2	2.46e-58	210
BOX15_Mlig014550g2	1.50e-79	269
BOX15_Mlig006976g1	1.96e-10	68.2
BOX15_Mlig031795g3	4.40e-13	77.0
BOX15_Mlig021130g3	9.53e-110	351
BOX15_Mlig000989g5	1.95e-103	337
BOX15_Mlig009538g1	8.86e-04	44.3
BOX15_Mlig000674g2	2.58e-113	367
BOX15_Mlig034115g2	1.03e-31	136
BOX15_Mlig013616g1	9.35e-48	177
BOX15_Mlig011411g1	3.16e-08	55.8
BOX15_Mlig004551g4	3.20e-106	338
BOX15_Mlig014244g1	1.59e-73	244
BOX15_Mlig009645g3	1.82e-08	60.5
BOX15_Mlig024351g4	2.38e-25	113
BOX15_Mlig031804g2	1.92e-79	259
BOX15_Mlig020788g3	8.41e-89	302
BOX15_Mlig026429g3	3.07e-17	91.3
BOX15_Mlig033565g2	5.44e-07	57.4
BOX15_Mlig028680g1	2.22e-10	67.4
BOX15_Mlig027426g1	1.10e-22	106
BOX15_Mlig032568g1	1.09e-53	196
BOX15_Mlig009398g1	1.61e-152	453
BOX15_Mlig025449g1	1.34e-46	171
BOX15_Mlig020199g1	6.93e-19	95.1
BOX15_Mlig009170g1	1.47e-23	112
BOX15_Mlig000841g2	5.05e-148	434
BOX15_Mlig000209g3	1.59e-44	177
BOX15_Mlig000862g3	1.95e-156	460
BOX15_Mlig030741g1	2.62e-22	107
BOX15_Mlig026840g2	7.01e-110	333
BOX15_Mlig000841g6	6.13e-71	224
BOX15_Mlig002294g2	1.52e-36	149
BOX15_Mlig022707g1	2.06e-32	139
BOX15_Mlig005297g1	8.72e-41	166
BOX15_Mlig007166g1	2.31e-19	97.1
BOX15_Mlig020801g1	2.78e-10	68.6
BOX15_Mlig008197g1	2.06e-98	308
BOX15_Mlig033226g1	1.89e-31	131
BOX15_Mlig015771g1	1.97e-39	162
BOX15_Mlig013326g1	2.89e-08	55.5
BOX15_Mlig006075g1	3.96e-24	112
BOX15_Mlig000461g1	8.62e-153	455
BOX15_Mlig015474g3	9.51e-111	342
BOX15_Mlig032313g1	1.15e-149	456
BOX15_Mlig005955g1	4.49e-27	123
BOX15_Mlig010245g2	1.73e-15	84.0
BOX15_Mlig014818g1	1.13e-147	434
BOX15_Mlig005363g2	7.71e-28	121
BOX15_Mlig016491g1	1.83e-16	80.9
BOX15_Mlig015393g1	5.14e-29	127
BOX15_Mlig017198g1	2.45e-14	81.3
BOX15_Mlig009331g1	1.29e-62	219
BOX15_Mlig011397g1	4.79e-15	83.6
BOX15_Mlig003611g1	1.31e-19	95.5
